Rule	support	confidence
41, 42, 44, 25 -> 24	2.07%	100.0%
24, 41, 44, 25 -> 42	2.07%	100.0%
24, 25, 42, 44 -> 41	2.07%	100.0%
24, 41, 42, 44 -> 25	2.07%	99.94%
24, 25, 44 -> 41	2.07%	99.81%
24, 25, 44 -> 42	2.07%	99.81%
24, 25, 44 -> 41, 42	2.07%	99.81%
41, 42, 44 -> 24	2.07%	99.74%
25, 42, 41 -> 24	2.56%	99.74%
41, 42, 44 -> 25	2.07%	99.68%
41, 42, 44 -> 24, 25	2.07%	99.68%
24, 25, 42 -> 41	2.56%	99.53%
46, 12, 38 -> 8	2.79%	99.52%
24, 42, 44 -> 41	2.07%	99.49%
24, 41, 44 -> 42	2.07%	99.42%
25, 44, 41 -> 24	2.07%	99.42%
24, 42, 44 -> 25	2.07%	99.42%
25, 44, 41 -> 42	2.07%	99.42%
41, 44, 25 -> 24, 42	2.07%	99.42%
24, 42, 44 -> 41, 25	2.07%	99.42%
8, 12, 46 -> 38	2.79%	99.38%
24, 41, 44 -> 25	2.07%	99.36%
24, 41, 44 -> 25, 42	2.07%	99.36%
49, 13, 37 -> 32	2.06%	99.29%
8, 46, 38 -> 12	2.79%	99.29%
24, 41, 42 -> 25	2.56%	99.27%
24, 25, 41 -> 42	2.56%	99.22%
32, 49, 13 -> 37	2.06%	99.1%
25, 42, 44 -> 24	2.07%	99.04%
25, 42, 44 -> 41	2.07%	99.04%
25, 42, 44 -> 24, 41	2.07%	99.04%
32, 49, 37 -> 13	2.06%	98.97%
36, 4 -> 19	4.11%	95.54%
19, 4 -> 36	4.11%	94.77%
3, 47 -> 1	3.34%	94.74%
48, 30 -> 18	2.68%	93.96%
1, 3 -> 47	3.34%	93.96%
18, 30 -> 48	2.68%	93.7%
17, 46 -> 33	3.28%	93.68%
12, 38 -> 8	3.43%	93.57%
24, 42 -> 41	2.57%	92.88%
33, 46 -> 17	3.28%	92.8%
24, 42 -> 25	2.57%	92.64%
25, 41 -> 24	2.58%	92.62%
24, 25 -> 41	2.58%	92.57%
41, 42 -> 24	2.57%	92.48%
8, 38 -> 12	3.43%	92.46%
16, 50 -> 8	2.72%	92.31%
24, 25 -> 42	2.57%	92.29%
25, 42 -> 24	2.57%	92.29%
8, 50 -> 16	2.72%	92.22%
24, 42 -> 25, 41	2.56%	92.21%
25, 41 -> 42	2.56%	92.14%
25, 42 -> 41	2.56%	92.09%
8, 12 -> 38	3.43%	92.09%
41, 42 -> 25	2.56%	92.05%
24, 41 -> 25	2.58%	91.96%
24, 41 -> 42	2.57%	91.91%
25, 41 -> 24, 42	2.56%	91.9%
24, 25 -> 41, 42	2.56%	91.85%
25, 42 -> 24, 41	2.56%	91.85%
41, 42 -> 24, 25	2.56%	91.81%
32, 13 -> 37	2.55%	91.62%
13, 37 -> 32	2.55%	91.57%
32, 37 -> 13	2.55%	91.44%
42, 44 -> 25	2.09%	91.33%
24, 41 -> 25, 42	2.56%	91.24%
49, 13 -> 32	2.08%	91.16%
49, 13 -> 37	2.07%	90.99%
42, 44 -> 24	2.09%	90.98%
46, 38 -> 8	2.81%	90.94%
32, 49 -> 37	2.08%	90.86%
42, 44 -> 41	2.08%	90.75%
32, 49 -> 13	2.08%	90.74%
46, 38 -> 12	2.81%	90.73%
25, 44 -> 42	2.09%	90.7%
41, 44 -> 24	2.09%	90.62%
41, 44 -> 25	2.09%	90.56%
12, 46 -> 8	2.81%	90.55%
42, 44 -> 24, 41	2.07%	90.52%
42, 44 -> 24, 25	2.07%	90.46%
42, 44 -> 25, 41	2.07%	90.46%
42, 44 -> 24, 41, 25	2.07%	90.46%
12, 46 -> 38	2.81%	90.42%
25, 44 -> 41	2.09%	90.35%
49, 13 -> 32, 37	2.06%	90.35%
41, 44 -> 42	2.08%	90.33%
46, 38 -> 8, 12	2.79%	90.3%
24, 44 -> 41	2.09%	90.15%
41, 44 -> 24, 42	2.07%	90.1%
24, 44 -> 42	2.09%	90.09%
41, 44 -> 24, 25	2.07%	90.04%
41, 44 -> 25, 42	2.07%	90.04%
41, 44 -> 24, 25, 42	2.07%	90.04%
25, 44 -> 24	2.08%	90.01%
12, 46 -> 8, 38	2.79%	89.99%
32, 49 -> 13, 37	2.06%	89.92%
49, 37 -> 32	2.08%	89.91%
25, 44 -> 24, 41	2.07%	89.83%
25, 44 -> 24, 42	2.07%	89.83%
25, 44 -> 41, 42	2.07%	89.83%
25, 44 -> 24, 41, 42	2.07%	89.83%
24, 44 -> 25	2.08%	89.75%
24, 44 -> 41, 42	2.07%	89.63%
49, 37 -> 13	2.07%	89.63%
24, 44 -> 25, 41	2.07%	89.57%
24, 44 -> 25, 42	2.07%	89.57%
24, 44 -> 41, 42, 25	2.07%	89.57%
8, 46 -> 38	2.81%	89.1%
8, 46 -> 12	2.81%	89.02%
49, 37 -> 32, 13	2.06%	88.99%
8, 46 -> 12, 38	2.79%	88.47%
8, 12, 38 -> 46	2.79%	81.35%
24, 41, 42, 25 -> 44	2.07%	81.12%
25, 42, 41 -> 44	2.07%	80.91%
41, 42, 25 -> 24, 44	2.07%	80.91%
24, 25, 42 -> 44	2.07%	80.74%
24, 25, 42 -> 41, 44	2.07%	80.74%
32, 13, 37 -> 49	2.06%	80.71%
